11/23/2022,DESCRIPTION,0,CURRENCY,TRANSACTION REFERENCE NUMBER,FI TRANSACTION REFERENCE,TYPE,CREDIT/DEBIT,ORIGINAL AMOUNT
11/23/2022,WEB  APPLECARD GSBANK PAYMENT,-359.15,USD,,2022112300003,DDA Debit,Debit,
11/23/2022,WEB  CAPITAL ONE      MOBILE PMT,-113.98,USD,,2022112300002,DDA Debit,Debit,
11/23/2022,PPD  VENMO            CASHOUT,35,USD,,2022112300001,DDA Deposit,Credit,
11/22/2022,ZELLE TO       LISA ROSSOW,-210,USD,,2022112200001,DDA Debit,Debit,
11/18/2022,PPD  VENMO            CASHOUT,65,USD,,2022111800001,DDA Deposit,Credit,
11/16/2022,2196 N  ELSTON             CHICAGO        IL,225,USD,,2022111600001,DDA Deposit,Credit,
11/14/2022,PPD  VENMO            CASHOUT,52.14,USD,,2022111400001,DDA Deposit,Credit,
11/07/2022,WEB  CAPITAL ONE      CRCARDPMT,-59.02,USD,,2022110700001,DDA Debit,Debit,
11/01/2022,WEB  CL3 Real Estate  WEB PMTS,-801.95,USD,,2022110100001,DDA Debit,Debit,
10/31/2022,WEB  PAYPAL           INST XFER,-16.95,USD,,2022103100002,DDA Debit,Debit,
10/31/2022,DDA DEPOSIT,800,USD,,2022103100001,DDA Deposit,Credit,
10/21/2022,DDA DEPOSIT,300,USD,,2022102100001,DDA Deposit,Credit,
10/17/2022,WEB  APPLECARD GSBANK PAYMENT,-372.67,USD,,2022101700003,DDA Debit,Debit,
10/17/2022,WEB  CAPITAL ONE      MOBILE PMT,-62.02,USD,,2022101700002,DDA Debit,Debit,
10/17/2022,WEB  VENMO            PAYMENT,-30,USD,,2022101700001,DDA Debit,Debit,
10/11/2022,WEB  CAPITAL ONE      MOBILE PMT,-172,USD,,2022101100002,DDA Debit,Debit,
10/11/2022,WEB  APPLECARD GSBANK PAYMENT,-67.73,USD,,2022101100001,DDA Debit,Debit,
10/03/2022,WEB  CL3 Real Estate  WEB PMTS,-801.95,USD,,2022100300001,DDA Debit,Debit,
09/29/2022,DDA DEPOSIT,1500,USD,,2022092900001,DDA Deposit,Credit,
09/28/2022,WEB  APPLECARD GSBANK PAYMENT,-345.79,USD,,2022092800001,DDA Debit,Debit,
